latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
50.00232,-90.14449,304.07,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.63,1.31,N
50.00332,-90.14999,305.25,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,290.44,1.29,N
50.00792,-90.13614,310.48,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.68,1.77,N
50.01179,-90.13332,301.65,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.02,1.37,N
50.01508,-90.13186,318.04,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.86,1.37,N
50.01736,-90.12492,305.89,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.7,0.9,N
50.01891,-90.09455,304.63,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.69,0.98,N
50.02066,-90.12345,303.73,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.54,0.9,N
50.02092,-90.10555,311.28,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.16,1.09,N
50.02221,-90.0931,302.14,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.36,0.98,N
50.02321,-90.0986,302.72,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.89,1.09,N
50.02422,-90.10409,311.42,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.54,1.09,N
50.02778,-90.08469,304.54,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.86,1.26,N
50.03007,-90.07774,303.17,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.87,0.43,N
50.13132,-96.90176,300.13,0.44,0.38,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.04,1,N
50.51507,-104.63017,305.46,0.59,0.53,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.68,1.89,N
50.51743,-104.6286,327.62,0.59,0.53,2026-08-01,822,N20,VIIRS,n,2.0NRT,290.62,4.79,N
50.51995,-104.62955,318.51,0.59,0.53,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.99,3.31,N
50.52038,-104.63802,333.43,0.59,0.53,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.99,5.97,N
52.94859,-107.49301,328.19,0.41,0.61,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.75,2.41,N
52.94871,-107.49928,329.8,0.41,0.61,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.6,4.59,N
52.95421,-107.49262,299.06,0.41,0.61,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.21,2.41,N
53.26316,-109.94583,297.63,0.52,0.67,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.42,1.13,N
53.52898,-113.38444,296.95,0.72,0.76,2026-08-01,822,N20,VIIRS,n,2.0NRT,284.96,1.02,N
53.53296,-113.38815,299.3,0.73,0.76,2026-08-01,822,N20,VIIRS,n,2.0NRT,285.62,0.83,N
53.54703,-113.38963,304.95,0.73,0.76,2026-08-01,822,N20,VIIRS,n,2.0NRT,285.6,2.48,N
53.56216,-113.3567,302.1,0.72,0.76,2026-08-01,822,N20,VIIRS,n,2.0NRT,285.88,1.05,N
43.4683,-102.8801,322.37,0.42,0.45,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.83,2.34,N
44.32085,-113.85323,307.08,0.75,0.77,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.54,2.5,N
44.324,-113.84818,304.36,0.75,0.77,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.38,3.03,N
44.71945,-94.65311,295.98,0.38,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,284.09,0.22,N
44.78716,-106.3968,309.22,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.98,2.3,N
44.7874,-106.40097,328.22,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,286.51,9.37,N
44.78923,-106.36172,321.72,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.65,2.31,N
44.78944,-106.36572,350.99,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.15,2.31,N
44.79029,-106.36356,367,0.32,0.55,2026-08-01,824,N20,VIIRS,h,2.0NRT,294.03,7.03,N
44.79053,-106.36752,303.72,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.68,2.99,N
44.79095,-106.39423,312.43,0.32,0.55,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.25,2.88,N
